X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
126.649356,37.45104725,2,0,0,0,0,104.8472328
126.6494037,37.45103462,2,1,0,1,4.93E-05,98.64172711
126.6494317,37.45103342,2,2,0,2,7.74E-05,81.42569935
126.6494643,37.45104502,2,3,0,3,0.000111987,70.41517726
126.6493228,37.4510203,3,0,0,0,0,104.8472328
126.6493705,37.45100767,3,1,0,1,4.93E-05,98.64172711
126.6493985,37.45100648,3,2,0,2,7.74E-05,81.42569935
126.6494311,37.45101808,3,3,0,3,0.000111987,70.41517726
126.6492848,37.45098801,4,0,0,0,0,107.7917086
126.6493337,37.45097233,4,1,0,1,5.13E-05,96.76880144
126.6493578,37.45097413,4,2,0,2,7.55E-05,84.04922242
126.6493846,37.45097773,4,3,0,3,0.000102535,82.35255061
126.6492522,37.45095845,5,0,0,0,0,107.30085
126.6492972,37.45094445,5,1,0,1,4.71E-05,98.99352388
126.6493246,37.45094412,5,2,0,2,7.46E-05,82.8615263
126.649353,37.45095169,5,3,0,3,0.000103889,75.03685484
126.6494964,37.45107175,1,0,0,0,0,230.0907462
126.6492411,37.45085827,1,1,0,1,0.000332756,230.0907462
